Marking,"CAT","STIG Id","Group Id","Group Title","Rule Id","Rule Title","Check","Fix","Discussion","CCIs"
(CUI),"CAT 2","CNTR-K8-000150","V-242376","SRG-APP-000014-CTR-000035","SV-242376r960759_rule","The Kubernetes Controller Manager must use TLS 1.2, at a minimum, to protect the confidentiality of sensitive data during electronic dissemination.","Change to the /etc/kubernetes/manifests/ directory on the Kubernetes Control Plane. Run the command:

grep -i tls-min-version * 

If the setting ""tls-min-version"" is not configured in the Kubernetes Controller Manager manifest file or it is set to ""VersionTLS10"" or ""VersionTLS11"", this is a finding.","Edit the Kubernetes Controller Manager manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Set the value of ""--tls-min-version"" to ""VersionTLS12"" or higher.","The Kubernetes Controller Manager will prohibit the use of SSL and unauthorized versions of TLS protocols to properly secure communication.

The use of unsupported protocol exposes vulnerabilities to the Kubernetes by rogue traffic interceptions, man-in-the-middle attacks, and impersonation of users or services from the container platform runtime, registry, and key store. To enable the minimum version of TLS to be used by the Kubernetes Controller Manager, the setting ""tls-min-version"" must be set.","000068"
(CUI),"CAT 2","CNTR-K8-000160","V-242377","SRG-APP-000014-CTR-000035","SV-242377r960759_rule","The Kubernetes Scheduler must use TLS 1.2, at a minimum, to protect the confidentiality of sensitive data during electronic dissemination.","Change to the /etc/kubernetes/manifests/ directory on the Kubernetes Control Plane. Run the command:

grep -i tls-min-version * 

If the setting ""tls-min-version"" is not configured in the Kubernetes Scheduler manifest file or it is set to ""VersionTLS10"" or ""VersionTLS11"", this is a finding.","Edit the Kubernetes Scheduler manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Set the value of ""--tls-min-version"" to ""VersionTLS12"" or higher.","The Kubernetes Scheduler will prohibit the use of SSL and unauthorized versions of TLS protocols to properly secure communication.

The use of unsupported protocol exposes vulnerabilities to the Kubernetes by rogue traffic interceptions, man-in-the-middle attacks, and impersonation of users or services from the container platform runtime, registry, and keystore. To enable the minimum version of TLS to be used by the Kubernetes API Server, the setting ""tls-min-version"" must be set.","000068"
(CUI),"CAT 2","CNTR-K8-000170","V-242378","SRG-APP-000014-CTR-000040","SV-242378r960759_rule","The Kubernetes API Server must use TLS 1.2, at a minimum, to protect the confidentiality of sensitive data during electronic dissemination.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i tls-min-version * 

If the setting ""tls-min-version"" is not configured in the Kubernetes API Server manifest file or it is set to ""VersionTLS10"" or ""VersionTLS11"", this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Set the value of ""--tls-min-version"" to ""VersionTLS12"" or higher.","The Kubernetes API Server will prohibit the use of SSL and unauthorized versions of TLS protocols to properly secure communication.

The use of unsupported protocol exposes vulnerabilities to the Kubernetes by rogue traffic interceptions, man-in-the-middle attacks, and impersonation of users or services from the container platform runtime, registry, and keystore. To enable the minimum version of TLS to be used by the Kubernetes API Server, the setting ""tls-min-version"" must be set.","000068"
(CUI),"CAT 2","CNTR-K8-000180","V-242379","SRG-APP-000014-CTR-000035","SV-242379r960759_rule","The Kubernetes etcd must use TLS to protect the confidentiality of sensitive data during electronic dissemination.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i  auto-tls * 

If the setting ""--auto-tls"" is not configured in the Kubernetes etcd manifest file or it is set to true, this is a finding.","Edit the Kubernetes etcd manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of ""--auto-tls"" to ""false"".","Kubernetes etcd will prohibit the use of SSL and unauthorized versions of TLS protocols to properly secure communication.

The use of unsupported protocol exposes vulnerabilities to the Kubernetes by rogue traffic interceptions, man-in-the-middle attacks, and impersonation of users or services from the container platform runtime, registry, and keystore. To enable the minimum version of TLS to be used by the Kubernetes API Server, the setting ""--auto-tls"" must be set.","000068"
(CUI),"CAT 2","CNTR-K8-000190","V-242380","SRG-APP-000014-CTR-000035","SV-242380r960759_rule","The Kubernetes etcd must use TLS to protect the confidentiality of sensitive data during electronic dissemination.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -I  peer-auto-tls * 

If the setting ""--peer-auto-tls"" is not configured in the Kubernetes etcd manifest file or it is set to ""true"", this is a finding.","Edit the Kubernetes etcd manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of ""--peer-auto-tls"" to ""false"".","The Kubernetes API Server will prohibit the use of SSL and unauthorized versions of TLS protocols to properly secure communication.

The use of unsupported protocol exposes vulnerabilities to the Kubernetes by rogue traffic interceptions, man-in-the-middle attacks, and impersonation of users or services from the container platform runtime, registry, and keystore. To enable the minimum version of TLS to be used by the Kubernetes API Server, the setting ""--peer-auto-tls"" must be set.","000068"
(CUI),"CAT 1","CNTR-K8-000220","V-242381","SRG-APP-000023-CTR-000055","SV-242381r1043176_rule","The Kubernetes Controller Manager must create unique service accounts for each work payload.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i use-service-account-credentials * 

If the setting ""--use-service-account-credentials"" is not configured in the Kubernetes Controller Manager manifest file or it is set to ""false"", this is a finding.","Edit the Kubernetes Controller Manager manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane.

Set the value of ""--use-service-account-credentials"" to ""true"".","The Kubernetes Controller Manager is a background process that embeds core control loops regulating cluster system state through the API Server. Every process executed in a pod has an associated service account. By default, service accounts use the same credentials for authentication. Implementing the default settings poses a High risk to the Kubernetes Controller Manager. Setting the ""--use-service-account-credential"" value lowers the attack surface by generating unique service accounts settings for each controller instance.","000015"
(CUI),"CAT 2","CNTR-K8-000270","V-242382","SRG-APP-000033-CTR-000090","SV-242382r1137638_rule","The Kubernetes API Server must enable Node,RBAC as the authorization mode.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:
grep -i authorization-mode * 

If the setting authorization-mode is set to ""AlwaysAllow"" in the Kubernetes API Server manifest file or is not configured, this is a finding.","Edit the Kubernetes API Server manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. 

Set the value of ""--authorization-mode"" to ""Node,RBAC"".","To mitigate the risk of unauthorized access to sensitive information by entities that have been issued certificates by DOD-approved PKIs, all DOD systems (e.g., networks, web servers, and web portals) must be properly configured to incorporate access control methods that do not rely solely on the possession of a certificate for access. Successful authentication must not automatically give an entity access to an asset or security boundary. Authorization procedures and controls must be implemented to ensure each authenticated entity also has a validated and current authorization. Authorization is the process of determining whether an entity, once authenticated, is permitted to access a specific asset.

Node,RBAC is the method within Kubernetes to control access of users and applications. Kubernetes uses roles to grant authorization API requests made by kubelets.

Satisfies: SRG-APP-000340-CTR-000770, SRG-APP-000033-CTR-000095, SRG-APP-000378-CTR-000880, SRG-APP-000033-CTR-000090","000213"
(CUI),"CAT 1","CNTR-K8-000290","V-242383","SRG-APP-000038-CTR-000105","SV-242383r1137641_rule","User-managed resources must be created in dedicated namespaces.","To view the available namespaces, run the command:

kubectl get namespaces

The default namespaces to be validated are default, kube-public, and kube-node-lease if it is created.

For the default namespace, execute the commands:

kubectl config set-context --current --namespace=default
kubectl get all

For the kube-public namespace, execute the commands:

kubectl config set-context --current --namespace=kube-public
kubectl get all

For the kube-node-lease namespace, execute the commands:

kubectl config set-context --current --namespace=kube-node-lease
kubectl get all

The only valid return values are the kubernetes service (i.e., service/kubernetes) and nothing at all.

If a return value is returned from the ""kubectl get all"" command and it is not the kubernetes service (i.e., service/kubernetes), this is a finding.","Move any user-managed resources from the default, kube-public, and kube-node-lease namespaces to user namespaces.","Creating namespaces for user-managed resources is important when implementing Role-Based Access Controls (RBAC). RBAC allows for the authorization of users and helps support proper API server permissions separation and network micro segmentation. If user-managed resources are placed within the default namespaces, it becomes impossible to implement policies for RBAC permission, service account usage, network policies, and more.","000366"
(CUI),"CAT 2","CNTR-K8-000300","V-242384","SRG-APP-000033-CTR-000090","SV-242384r1137638_rule","The Kubernetes Scheduler must have secure binding.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i bind-address * 

If the setting ""bind-address"" is not set to ""127.0.0.1"" or is not found in the Kubernetes Scheduler manifest file, this is a finding.","Edit the Kubernetes Scheduler manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Set the argument ""--bind-address"" to ""127.0.0.1"".","Limiting the number of attack vectors and implementing authentication and encryption on the endpoints available to external sources is paramount when securing the overall Kubernetes cluster. The Scheduler API service exposes port 10251/TCP by default for health and metrics information use. This port does not encrypt or authenticate connections. If this port is exposed externally, an attacker can use this port to attack the entire Kubernetes cluster. By setting the bind address to localhost (i.e., 127.0.0.1), only those internal services that require health and metrics information can access the Scheduler API.","000213"
(CUI),"CAT 2","CNTR-K8-000310","V-242385","SRG-APP-000033-CTR-000090","SV-242385r1137638_rule","The Kubernetes Controller Manager must have secure binding.","Change to the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Run the command:

grep -i bind-address * 

If the setting bind-address is not set to ""127.0.0.1"" or is not found in the Kubernetes Controller Manager manifest file, this is a finding.","Edit the Kubernetes Controller Manager manifest file in the /etc/kubernetes/manifests directory on the Kubernetes Control Plane. Set the argument ""--bind-address"" to ""127.0.0.1"".","Limiting the number of attack vectors and implementing authentication and encryption on the endpoints available to external sources is paramount when securing the overall Kubernetes cluster. The Controller Manager API service exposes port 10252/TCP by default for health and metrics information use. This port does not encrypt or authenticate connections. If this port is exposed externally, an attacker can use this port to attack the entire Kubernetes cluster. By setting the bind address to only localhost (i.e., 127.0.0.1), only those internal services that require health and metrics information can access the Control Manager API.","000213"
